"";BBK01.SU0202;BBK01.SU0202_FLAGS
"";Zinssatz der EZB für Hauptrefinanzierungsgeschäfte / Stand am Monatsende;
BBK_DECIMALS;2;
BBK_GRAPHPOS;E;
Dimension;Eins;
Einheit;% p.a.;
TIME_FORMAT;P1M;
Stand vom;02.11.2022 09:22:44 Uhr;
"";Bemerkung zu 2000-06: Festsatz am 15. Juni und 21. Juni 4,25 %, Mindestbietungssatz ab 28. Juni 4,25 % (Beschluss des EZB-Rates vom 8. Juni 2000);
"";Bemerkung zu 2000-09: Mindestbietungssatz ab 6. Sept. 2000 4,50 % (Beschluss des EZB-Rates vom 31. Aug. 2000);
"";Bemerkung zu 2000-10: Mindestbietungssatz ab 11. Okt. 2000 4,75 % (Beschluss des EZB-Rates vom 5. Okt. 2000);
"";Bemerkung zu 2001-05: Mindestbietungssatz ab 15. Mai 2001 4,50 % (Beschluss des EZB-Rates vom 10. Mai 2001);
"";"Bemerkung zu 2001-09: Mindestbietungssatz ab 5. Sept. 2001 4,25 % (Beschluss des EZB-Rates vom 30. Aug. 2001); Mindestbietungssatz ab 19. Sept. 2001 3,75 % (Beschluss des EZB-Rates vom 17. Sept. 2001)";
"";Bemerkung zu 2001-11: Mindestbietungssatz ab 14. Nov. 2001 3,25 % (Beschluss des EZB-Rates vom 8. Nov. 2001);
"";Bemerkung zu 2002-12: Mindestbietungssatz ab 11. Dez. 2002 2,75 % (Beschluss des EZB-Rates vom 5. Dez. 2002);
"";Bemerkung zu 2003-03: Mindestbietungssatz ab 12. März 2003 2,50 % (Beschluss des EZB-Rates vom 6. März 2003);
"";Bemerkung zu 2003-06: Mindestbietungssatz ab 9. Juni 2003 2,00 % (Beschluss des EZB-Rates vom 5. Juni 2003);
"";Bemerkung zu 2005-12: Mindestbietungssatz ab 6. Dez. 2005 2,25 % (Beschluss des EZB-Rates vom 1. Dez. 2005);
"";Bemerkung zu 2006-03: Mindestbietungssatz ab 8. März 2006 2,50 % (Beschluss des EZB-Rates vom 2. März 2006);
"";Bemerkung zu 2006-06: Mindestbietungssatz ab 15. Juni 2006 2,75 % (Beschluss des EZB-Rates vom 8. Juni 2006);
"";Bemerkung zu 2006-08: Mindestbietungssatz ab 9. Aug. 2006 3,00 % (Beschluss des EZB-Rates vom 3. Aug. 2006);
"";Bemerkung zu 2006-10: Mindestbietungssatz ab 11. Okt. 2006 3,25 % (Beschluss des EZB-Rates vom 5. Okt. 2006);
"";Bemerkung zu 2006-12: Mindestbietungssatz ab 13. Dez. 2006 3,50 % (Beschluss des EZB-Rates vom 7. Dez. 2006);
"";Bemerkung zu 2007-03: Mindestbietungssatz ab 14. März 2007 3,75 % (Beschluss des EZB-Rates vom 8. März 2007);
"";Bemerkung zu 2007-06: Mindestbietungssatz ab 13. Juni 2007 4,00 % (Beschluss des EZB-Rates vom 6. Juni 2007);
"";Bemerkung zu 2008-07: Mindestbietungssatz ab 9. Juli 2008 4,25 % (Beschluss des EZB-Rates vom 3. Juli 2008);
